,class,parameter,data_type,default_value,url
10,sklearn.ensemble.HistGradientBoostingRegressor,n_iter_no_change,int or None,None,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html
10,sklearn.ensemble.HistGradientBoostingRegressor,n_iter_no_change,int or None,None,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html
11,sklearn.ensemble.HistGradientBoostingRegressor,tol,float or None,1e-07,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html
11,sklearn.ensemble.HistGradientBoostingRegressor,tol,float or None,1e-07,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html
12,sklearn.ensemble.HistGradientBoostingRegressor,random_state,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html
12,sklearn.ensemble.HistGradientBoostingRegressor,random_state,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html
0,sklearn.gaussian_process.GaussianProcessRegressor,kernel,kernel object,None,https://scikit-learn.org/stable/modules/generated/sklearn.gaussian_process.GaussianProcessRegressor.html
1,sklearn.gaussian_process.GaussianProcessRegressor,alpha,float or array-like,1e-10,https://scikit-learn.org/stable/modules/generated/sklearn.gaussian_process.GaussianProcessRegressor.html
2,sklearn.gaussian_process.GaussianProcessRegressor,optimizer,string or callable,’fmin_l_bfgs_b’,https://scikit-learn.org/stable/modules/generated/sklearn.gaussian_process.GaussianProcessRegressor.html
3,sklearn.gaussian_process.GaussianProcessRegressor,n_restarts_optimizer,int,0,https://scikit-learn.org/stable/modules/generated/sklearn.gaussian_process.GaussianProcessRegressor.html
4,sklearn.gaussian_process.GaussianProcessRegressor,normalize_y,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.gaussian_process.GaussianProcessRegressor.html
5,sklearn.gaussian_process.GaussianProcessRegressor,copy_X_train,bool,True,https://scikit-learn.org/stable/modules/generated/sklearn.gaussian_process.GaussianProcessRegressor.html
6,sklearn.gaussian_process.GaussianProcessRegressor,random_state,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.gaussian_process.GaussianProcessRegressor.html
0,sklearn.isotonic.IsotonicRegression,y_min,optional,None,https://scikit-learn.org/stable/modules/generated/sklearn.isotonic.IsotonicRegression.html
1,sklearn.isotonic.IsotonicRegression,y_max,optional,None,https://scikit-learn.org/stable/modules/generated/sklearn.isotonic.IsotonicRegression.html
2,sklearn.isotonic.IsotonicRegression,increasing,boolean or string,True,https://scikit-learn.org/stable/modules/generated/sklearn.isotonic.IsotonicRegression.html
3,sklearn.isotonic.IsotonicRegression,out_of_bounds,string,’nan’,https://scikit-learn.org/stable/modules/generated/sklearn.isotonic.IsotonicRegression.html
0,sklearn.kernel_ridge.KernelRidge,alpha,"{float, array-like}",1,https://scikit-learn.org/stable/modules/generated/sklearn.kernel_ridge.KernelRidge.html
0,sklearn.kernel_ridge.KernelRidge,alpha,"{float, array-like}",1,https://scikit-learn.org/stable/modules/generated/sklearn.kernel_ridge.KernelRidge.html
1,sklearn.kernel_ridge.KernelRidge,kernel,string or callable,’linear’,https://scikit-learn.org/stable/modules/generated/sklearn.kernel_ridge.KernelRidge.html
1,sklearn.kernel_ridge.KernelRidge,kernel,string or callable,’linear’,https://scikit-learn.org/stable/modules/generated/sklearn.kernel_ridge.KernelRidge.html
2,sklearn.kernel_ridge.KernelRidge,gamma,float,None,https://scikit-learn.org/stable/modules/generated/sklearn.kernel_ridge.KernelRidge.html
2,sklearn.kernel_ridge.KernelRidge,gamma,float,None,https://scikit-learn.org/stable/modules/generated/sklearn.kernel_ridge.KernelRidge.html
3,sklearn.kernel_ridge.KernelRidge,degree,float,3,https://scikit-learn.org/stable/modules/generated/sklearn.kernel_ridge.KernelRidge.html
3,sklearn.kernel_ridge.KernelRidge,degree,float,3,https://scikit-learn.org/stable/modules/generated/sklearn.kernel_ridge.KernelRidge.html
4,sklearn.kernel_ridge.KernelRidge,coef0,float,1,https://scikit-learn.org/stable/modules/generated/sklearn.kernel_ridge.KernelRidge.html
4,sklearn.kernel_ridge.KernelRidge,coef0,float,1,https://scikit-learn.org/stable/modules/generated/sklearn.kernel_ridge.KernelRidge.html
5,sklearn.kernel_ridge.KernelRidge,kernel_params,mapping of string to any,None,https://scikit-learn.org/stable/modules/generated/sklearn.kernel_ridge.KernelRidge.html
5,sklearn.kernel_ridge.KernelRidge,kernel_params,mapping of string to any,None,https://scikit-learn.org/stable/modules/generated/sklearn.kernel_ridge.KernelRidge.html
0,sklearn.linear_model.ARDRegression,n_iter,int,300,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ARDRegression.html
1,sklearn.linear_model.ARDRegression,tol,float,0.001,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ARDRegression.html
2,sklearn.linear_model.ARDRegression,alpha_1,float,1e-06,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ARDRegression.html
3,sklearn.linear_model.ARDRegression,alpha_2,float,1e-06,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ARDRegression.html
4,sklearn.linear_model.ARDRegression,lambda_1,float,1e-06,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ARDRegression.html
5,sklearn.linear_model.ARDRegression,lambda_2,float,1e-06,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ARDRegression.html
6,sklearn.linear_model.ARDRegression,compute_score,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ARDRegression.html
7,sklearn.linear_model.ARDRegression,threshold_lambda,float,10000.0,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ARDRegression.html
8,sklearn.linear_model.ARDRegression,fit_intercept,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ARDRegression.html
